gis_id,station_name,voltage_kv,latitude,longitude,source,install_year
GIS_101,MAPLEWOOD NORTH 500KV SUB,500,37.8124,-82.3401,Appalachian GIS 2024,1987
GIS_102,MAPLEWOOD NORTH 345KV,345,37.8124,-82.3401,Appalachian GIS 2024,1992
GIS_103,CEDARVILLE JCT 345KV,345,37.6891,-82.7234,Appalachian GIS 2024,1995
GIS_104,IRONBRIDGE SS 138KV,138,37.5312,-82.1987,Appalachian GIS 2024,2001
GIS_105,PINERIDGE EAST 138KV,138,37.4823,-81.9654,Appalachian GIS 2024,2003
GIS_106,STONEFIELD 69KV STATION,69,37.3901,-82.0112,Appalachian GIS 2024,2008
GIS_107,ASHFORD CREEK 345 SUB,345,37.2743,-82.4561,Appalachian GIS 2024,2011
GIS_108,BROOKHAVEN 138KV,138,37.6234,-81.8903,Appalachian GIS 2024,2005
GIS_109,FAIRMONT NORTH 500KV,500,37.9012,-81.7823,Appalachian GIS 2024,1982
GIS_110,RIDGEMONT 138KV SUB,138,37.5671,-82.6123,Appalachian GIS 2024,2015
